scenario_id,category,classification,rationale,escalation_required,cross_reference
core_01_training_system_exposure,dbChoiceId,FORBIDDEN,Lock 5 spec §2 (#7) — DB referential integrity; mutation breaks bty_arena_signals binding,NO,Lock 5 §2
core_01_training_system_exposure,next_map,FORBIDDEN,Lock 5 spec §2 (#8) — state-machine graph; mutation breaks scenario rotation chain,NO,Lock 5 §2
core_01_training_system_exposure,action_decision text,FORBIDDEN,FORBIDDEN — commitment/avoidance binding (8 commitment / 8 avoidance) ties to is_action_commitment exit gate; semantic mutation breaks state-transition determinism. ⚠ OUTLIER: 16 total action_decision choices (standard = 8); architectural variant — escalation_required,YES,Lock 5 §2 (#4) + §2.1
core_01_training_system_exposure,primary choice text,RISKY,Lock 5 spec §2 (#1) — decision-surface; wording shift can alter user interpretation of pattern direction,NO,Lock 5 §2
core_01_training_system_exposure,escalation text,RISKY,RISKY — escalation defines tradeoff framing for Ownership axis at stage 1; wording shift alters semantic weight of escalation_text per branch,NO,Lock 5 §2
core_01_training_system_exposure,second-choice text,RISKY,Lock 5 spec §2 (#3) — second-choice carries tradeoff resolution semantic,NO,Lock 5 §2
core_01_training_system_exposure,bty_tension_axis phrasing,RISKY,Lock 5 spec §2 (#6) — phrasing edit allowed; literal re-tag remains FORBIDDEN per Lock 5 Phase 1 cite,NO,Lock 5 §2
core_01_training_system_exposure,propagation text,RISKY,"RISKY — propagation governs identity drift via reExposureNote ('If avoided here, the same issue will return as a higher-cost clinical compromise.'); mutation can shift re-exposure trigger semantic",NO,Lock 5 §2 (#9) + §6.2.e
core_01_training_system_exposure,title-body,CONDITIONAL,Lock 5 spec §2.2 — pressure shift → RISKY; non-pressure clarity edit → SAFE,NO,Lock 5 §2.2
core_02_new_doctor_reexposure_compromise_loop,dbChoiceId,FORBIDDEN,Lock 5 spec §2 (#7) — DB referential integrity; mutation breaks bty_arena_signals binding,NO,Lock 5 §2
core_02_new_doctor_reexposure_compromise_loop,next_map,FORBIDDEN,Lock 5 spec §2 (#8) — state-machine graph; mutation breaks scenario rotation chain,NO,Lock 5 §2
core_02_new_doctor_reexposure_compromise_loop,action_decision text,FORBIDDEN,FORBIDDEN — commitment/avoidance binding (4 commitment / 4 avoidance) ties to is_action_commitment exit gate; semantic mutation breaks state-transition determinism,YES,Lock 5 §2 (#4) + §2.1
core_02_new_doctor_reexposure_compromise_loop,primary choice text,RISKY,Lock 5 spec §2 (#1) — decision-surface; wording shift can alter user interpretation of pattern direction,NO,Lock 5 §2
core_02_new_doctor_reexposure_compromise_loop,escalation text,RISKY,RISKY — escalation defines tradeoff framing for Ownership axis at stage 2; wording shift alters semantic weight of escalation_text per branch,NO,Lock 5 §2
core_02_new_doctor_reexposure_compromise_loop,second-choice text,RISKY,Lock 5 spec §2 (#3) — second-choice carries tradeoff resolution semantic,NO,Lock 5 §2
core_02_new_doctor_reexposure_compromise_loop,bty_tension_axis phrasing,RISKY,Lock 5 spec §2 (#6) — phrasing edit allowed; literal re-tag remains FORBIDDEN per Lock 5 Phase 1 cite,NO,Lock 5 §2
core_02_new_doctor_reexposure_compromise_loop,propagation text,RISKY,"RISKY — propagation governs identity drift via reExposureNote ('If the user exits here, the same compromise will repeat as normalized workflow.'); mutation can shift re-exposure trigger semantic",NO,Lock 5 §2 (#9) + §6.2.e
core_02_new_doctor_reexposure_compromise_loop,title-body,CONDITIONAL,Lock 5 spec §2.2 — pressure shift → RISKY; non-pressure clarity edit → SAFE,NO,Lock 5 §2.2
core_03_training_failure_hidden_as_performance_issue,dbChoiceId,FORBIDDEN,Lock 5 spec §2 (#7) — DB referential integrity; mutation breaks bty_arena_signals binding,NO,Lock 5 §2
core_03_training_failure_hidden_as_performance_issue,next_map,FORBIDDEN,Lock 5 spec §2 (#8) — state-machine graph; mutation breaks scenario rotation chain,NO,Lock 5 §2
core_03_training_failure_hidden_as_performance_issue,action_decision text,FORBIDDEN,FORBIDDEN — commitment/avoidance binding (4 commitment / 4 avoidance) ties to is_action_commitment exit gate; semantic mutation breaks state-transition determinism,YES,Lock 5 §2 (#4) + §2.1
core_03_training_failure_hidden_as_performance_issue,primary choice text,RISKY,Lock 5 spec §2 (#1) — decision-surface; wording shift can alter user interpretation of pattern direction,NO,Lock 5 §2
core_03_training_failure_hidden_as_performance_issue,escalation text,RISKY,RISKY — escalation defines tradeoff framing for Ownership axis at stage 3; wording shift alters semantic weight of escalation_text per branch,NO,Lock 5 §2
core_03_training_failure_hidden_as_performance_issue,second-choice text,RISKY,Lock 5 spec §2 (#3) — second-choice carries tradeoff resolution semantic,NO,Lock 5 §2
core_03_training_failure_hidden_as_performance_issue,bty_tension_axis phrasing,RISKY,Lock 5 spec §2 (#6) — phrasing edit allowed; literal re-tag remains FORBIDDEN per Lock 5 Phase 1 cite,NO,Lock 5 §2
core_03_training_failure_hidden_as_performance_issue,propagation text,RISKY,"RISKY — propagation governs identity drift via reExposureNote ('If the user exits here, the same pattern will repeat with every new doctor.'); mutation can shift re-exposure trigger semantic",NO,Lock 5 §2 (#9) + §6.2.e
core_03_training_failure_hidden_as_performance_issue,title-body,CONDITIONAL,Lock 5 spec §2.2 — pressure shift → RISKY; non-pressure clarity edit → SAFE,NO,Lock 5 §2.2
core_04_manager_neutrality_as_abandonment,dbChoiceId,FORBIDDEN,Lock 5 spec §2 (#7) — DB referential integrity; mutation breaks bty_arena_signals binding,NO,Lock 5 §2
core_04_manager_neutrality_as_abandonment,next_map,FORBIDDEN,Lock 5 spec §2 (#8) — state-machine graph; mutation breaks scenario rotation chain,NO,Lock 5 §2
core_04_manager_neutrality_as_abandonment,action_decision text,FORBIDDEN,FORBIDDEN — commitment/avoidance binding (4 commitment / 4 avoidance) ties to is_action_commitment exit gate; semantic mutation breaks state-transition determinism,YES,Lock 5 §2 (#4) + §2.1
core_04_manager_neutrality_as_abandonment,primary choice text,RISKY,Lock 5 spec §2 (#1) — decision-surface; wording shift can alter user interpretation of pattern direction,NO,Lock 5 §2
core_04_manager_neutrality_as_abandonment,escalation text,RISKY,RISKY — escalation defines tradeoff framing for Truth axis at stage 4; wording shift alters semantic weight of escalation_text per branch,NO,Lock 5 §2
core_04_manager_neutrality_as_abandonment,second-choice text,RISKY,Lock 5 spec §2 (#3) — second-choice carries tradeoff resolution semantic,NO,Lock 5 §2
core_04_manager_neutrality_as_abandonment,bty_tension_axis phrasing,RISKY,Lock 5 spec §2 (#6) — phrasing edit allowed; literal re-tag remains FORBIDDEN per Lock 5 Phase 1 cite,NO,Lock 5 §2
core_04_manager_neutrality_as_abandonment,propagation text,RISKY,"RISKY — propagation governs identity drift via reExposureNote ('If the user exits here, the same silence will reappear as resignation signals, assistant withdrawal,...'); mutation can shift re-exposure trigger semantic",NO,Lock 5 §2 (#9) + §6.2.e
core_04_manager_neutrality_as_abandonment,title-body,CONDITIONAL,Lock 5 spec §2.2 — pressure shift → RISKY; non-pressure clarity edit → SAFE,NO,Lock 5 §2.2
core_05_resignation_signal,dbChoiceId,FORBIDDEN,Lock 5 spec §2 (#7) — DB referential integrity; mutation breaks bty_arena_signals binding,NO,Lock 5 §2
