decision_id,decision_scope,decision_question,option_a,option_b,option_c,recommended_default,confidence,evidence_cite,decision,decision_lock_at,notes
R3.1.1,archetype_v1_preserve,7 archetype v1 spec values preserve OR redesign?,preserve (Lock 4 carry-forward),redesign (AL-2-C unlock — re-tune cutoffs),hybrid (preserve §5.1 STILLWATER + redesign §5.2-§5.7),preserve,HIGH,docs/specs/ARCHETYPE_DETERMINISM_LOCK_V1.md §5.1-§5.7 + AL-1.7 ±0.05 tuning window,TBD,TBD,38ce28d2 QUIETFLAME / 85bd8f1f STILLWATER pre-AL-2-B locks at risk under redesign
R3.1.2,patternRequires_method,Method X (axis-only ruleMatches) OR Method Y (add patternRequires field)?,Method X preserve (current),Method Y add patternRequires?: string[] to ArchetypeRule,defer to AL-2-D,Method X preserve,HIGH,rules.ts:11-16 + ARCHETYPE_DETERMINISM_LOCK_V1.md §4.1 + §10 AL2-3,TBD,TBD,Method Y requires FINGERPRINT_VERSION bump (AL-2-D coupling). patternRequires field does not exist in v1.
R3.1.3,axis_condition_extension,Add new axis conditions to existing archetypes (e.g., visibility/control to NIGHTFORGE)?,No (preserve current 18 conditions across 7 archetypes),Yes (extend matrix to gate more archetypes on NEW_AXIS axes),defer to AL-2-D,No,MEDIUM,rules.ts:19-77 + AL-2-C-R3-archetype-inventory.md §3,TBD,TBD,Extension changes specificity computation per ruleSpecificity() (conditions.length × 100)
R3.2.1,courage_axis_pen,courage axis pen() shape change?,Option A (pen with current emotionalRegulation),Option B (defer to AL-2-D),Option C (NEW anchor via Council session),Option B,HIGH,buildFingerprintInput.ts:37 + Council CSV (no high-confidence courage anchor) + 0 production family,TBD,TBD,NIGHTFORGE sole gate on courage axis. 0 family-level anchor in 110-row Council CSV.
R3.2.2,identity_axis_pen,identity axis pen() shape change?,Option A (pen with current TII),Option B (defer to AL-2-D),Option C (NEW anchor),Option B,HIGH,buildFingerprintInput.ts:39 + Council CSV (no high-confidence identity anchor) + 0 production family,TBD,TBD,TRUEBEARING + OPENHAND gate on identity. 0 family-level anchor.
R3.3.1,private_intention_axis,private_intention axis lock,self_protection / control (Council target),unique NEW canonical,DEPRECATE,self_protection / control,LOW,Council CSV note "could alternatively map to explanation_substitution",TBD,TBD,Phase 2 LOW-deferred. IRONROOT control gate impact.
R3.3.2,group_conformity_axis,group_conformity axis lock,reputation_protection / visibility (Council target),self_protection / control (alt per Council CSV),DEPRECATE,Hanbit decision (V-1-A unlock vs preserve),LOW,Phase 2 V-1-A deferred + Council CSV "could alternatively go to control axis",TBD,TBD,Cross-reference R3.4 focused audit. 4 occurrences.
R3.3.3,successor_protection_axis,successor_protection axis lock,authority_protection / authority (Council target),unique NEW canonical,DEPRECATE,authority_protection / authority,LOW,Phase 2 LOW-deferred + Council CSV,TBD,TBD,IRONROOT authority gate impact.
R3.3.4,system_defensiveness_axis,system_defensiveness axis lock,authority_protection / authority (Council target),unique NEW canonical,DEPRECATE,authority_protection / authority,LOW,Phase 2 LOW-deferred + Council CSV,TBD,TBD,IRONROOT authority gate impact.
R3.3.5,avoidance_behavior_axis,avoidance_behavior axis lock,delegation_deflection / conflict (Council target),scenario rename to specific mechanism (AL-2-E coupling),DEPRECATE,scenario rename (AL-2-E),LOW,Council CSV "generic name; ideally scenario-author rename",TBD,TBD,freq=9; STILLWATER conflict gate impact if merged.
R3.3.6,closure_rush_axis,closure_rush axis lock,future_deferral / time (Council target),integrity_compromise / integrity (alt per Council CSV),DEPRECATE,future_deferral / time,LOW,Council CSV "could alternatively map to integrity_compromise",TBD,TBD,Dual-axis dimension. STILLWATER/CLEARANCHOR integrity gate impact if integrity chosen.
R3.3.7,accountability_application_axis,accountability_application axis lock,explanation_substitution / accountability (Council target),DEPRECATE,defer,explanation_substitution / accountability,LOW,Council CSV exit-direction merge,TBD,TBD,Exit-direction merging into entry-direction canonical (lossy per spec §4.1).
R3.3.8,boundary_definition_axis,boundary_definition axis lock,repair_avoidance / repair (Council target),DEPRECATE,defer,DEPRECATE (exit-direction concern),LOW,Council CSV exit-direction merge + spec §4.1 lossy caveat,TBD,TBD,freq=1. Exit-direction lossy concern.
R3.3.9,misuse_correction_axis,misuse_correction axis lock,repair_avoidance / repair,DEPRECATE,defer,DEPRECATE,LOW,Council CSV exit-direction merge,TBD,TBD,freq=1. Exit-direction lossy concern.
R3.3.10,re_engagement_axis,re_engagement axis lock,repair_avoidance / repair,DEPRECATE,defer,DEPRECATE,LOW,Council CSV exit-direction merge,TBD,TBD,freq=1. Exit-direction lossy concern.
R3.3.11,visible_correction_axis,visible_correction axis lock,repair_avoidance / repair,DEPRECATE,defer,DEPRECATE,LOW,Council CSV exit-direction merge,TBD,TBD,freq=1. Exit-direction lossy concern.
R3.4.1,group_conformity_focused,group_conformity focused (cross-ref R3.3.2 — V-1-A treatment),control axis lock (add alias group_conformity → self_protection),visibility axis lock (unlock V-1-A; add alias group_conformity → reputation_protection),DEPRECATE (Housekeeping),Hanbit decision,LOW,AL-2-C-R3-low-row-archetype-resolution.md §4,TBD,TBD,Reverses Phase 2 V-1-A if Option B chosen.
R3.5.1,delegation_deflection_swap,delegation_deflection ↔ conflict_avoidance anchor swap,Option swap-A full swap (3-file mutation + FINGERPRINT_VERSION bump consideration),Option swap-B preserve v1 lock (0 mutation),Option swap-C hybrid (alias reverse only — DEFECTIVE per §5),Option swap-B preserve,HIGH,Council CSV cardinality reversal note + spec §4.1 ↔ code drift,TBD,TBD,swap-C silently disables conflict pen() per activePatterns normalization gap (§R3.5.2 below).
R3.5.2,active_patterns_normalization,activePatterns Set construction at buildFingerprintInput.ts:23 uses raw pattern_family.toLowerCase() instead of normalizePatternFamilyId — alias dictionary has 0 effect at pen() lookup site,Wire normalizePatternFamilyId into activePatterns Set (AL-2-C inclusion),defer to AL-2-D backlog,document as known gap (no mutation),defer to AL-2-D backlog,HIGH,buildFingerprintInput.ts:23 + AL-2-C-R3-anchor-swap-review.md §5,TBD,TBD,Phase 1 24h verify = 0 traffic so no observed production impact. Critical for active-state correctness.
