pattern_family,frequency,current_axis,candidate_canonical,semantic_rationale,penalty_impact,decision,notes
truth_naming,89,Axis 4 — Truth;Ownership;Truth,NEW_AXIS=truth,"Naming behavioral truth (entry=evading naming, exit=reclaiming naming) — distinct from accountability action; the dimension that determines whether reality is articulated at all","new wiring (axis = truth)","new wiring (axis 6/12); patternRequires 추가 영역","HIGH; production family validated (5 prod rows / 3 users); top frequency in entire inventory; anchor candidate for truth axis (currently 0 wiring); semantic distinct from accountability_axis (explanation_substitution is about substitution AFTER naming; truth_naming is about whether naming occurs)"
future_deferral,70,Axis 2 — Time;Documentation;Time,future_deferral,"Deferring action/repair/naming to future tense to avoid present accountability","high (penalty wiring axis = time)","anchor (no recalc); 5 canonical preserved","HIGH; canonical 5 anchor (preserved); wired via emotionalRegulation→time"
conflict_avoidance,34,Conflict;Control;Support;Truth,MERGE_INTO=delegation_deflection,"Avoiding direct confrontation by withdrawal/silence — same conflict-axis dimension as delegation_deflection (canonical mechanism for conflict-axis distortion)","merged into conflict wiring (axis = conflict)","merged into existing canonical; no recalc","MEDIUM; semantically conflict_avoidance is the prototypical name and delegation_deflection is a sub-mechanism; cleaner ontology would invert (conflict_avoidance as anchor) but preserves canonical 5 stability for v1; AL-2-C may swap"
system_thinking,30,Axis 1 — Ownership;Ownership;System;Truth,DEPRECATE,"Reflective awareness of system scope — positive-direction meta family; no behavioral distortion semantic; not a penalty target","none (deprecate)","none","MEDIUM; high freq but valence is exit/positive; compat map routed to accountability_system but accountability_system itself is meta; recommend scenario-author rename to truth_naming(exit) or explanation_substitution(exit) in AL-2-C"
ownership_act,23,Axis 1 — Ownership;Ownership,MERGE_INTO=ownership_escape,"Ownership-dimension behavior (entry=escape, exit=claiming the act); same axis dimension","merged into ownership wiring (axis = ownership)","merged into ghost canonical","MEDIUM; ownership_escape has 0 scenario coverage (R3 evidence) — ownership_act is the empirical anchor for ownership dimension; AL-2-B may rename canonical to ownership_act"
trust_repair,22,Repair;Truth,MERGE_INTO=repair_avoidance,"Repair-dimension behavior (exit direction = active repair); same axis dimension as repair_avoidance","merged into repair wiring (axis = repair)","merged into existing canonical; no recalc","HIGH; clean exit-direction pairing"
delegation_deflection,21,Authority;Axis 3 — Authority,delegation_deflection,"Redirecting decisional/interpersonal load to others to avoid direct conflict","high (penalty wiring axis = conflict)","anchor (no recalc); 5 canonical preserved","HIGH; canonical 5 anchor (preserved); current_axis literal Authority is empirical drift — semantic anchor is conflict-axis (per spec §4.1)"
accountability_system,18,Repair,DEPRECATE,"Systemic accountability narrative — exit/positive valence meta family; no behavioral distortion mapping","none (deprecate)","none","LOW; compat map artifact (system_thinking routed here); recommend rename to explanation_substitution(exit) or DEPRECATE entirely; semantic boundary fuzzy"
integrity_alignment,18,Repair,MERGE_INTO=integrity_compromise,"Integrity-dimension behavior (exit direction = aligning principle with action); pairs with integrity_compromise","merged into integrity wiring (axis = integrity)","merged into NEW canonical (axis = integrity)","MEDIUM; depends on NEW_AXIS=integrity adoption (anchor: integrity_compromise)"
ownership_clarity,18,Repair;Truth,MERGE_INTO=ownership_escape,"Ownership-dimension behavior (exit direction = clear ownership); same axis dimension","merged into ownership wiring (axis = ownership)","merged into ghost canonical","MEDIUM; current_axis literal Repair;Truth is empirical drift; semantic anchor is ownership"
authority_protection,14,Accountability;Authority,NEW_AXIS=authority,"Protecting authority position by suppressing dissent or hiding errors — distinct dimension from accountability or conflict","new wiring (axis = authority)","new wiring (axis 7/12); patternRequires 추가 영역","HIGH; anchor for authority axis (currently 0 wiring); production semantic clear; absorbs neutrality_masking, authority_exercise, authority_preservation, authority_constraint, leader_protection, successor_protection, system_defensiveness"
explanation_substitution,14,Accountability;Explanation,explanation_substitution,"Substituting causal narrative for accountability action","high (penalty wiring axis = accountability)","anchor (no recalc); 5 canonical preserved","HIGH; canonical 5 anchor (preserved); wired via AIR→accountability"
neutrality_masking,14,Authority;Conflict;Time,MERGE_INTO=authority_protection,"Masking active authority decisions as neutral observation — specific mechanism of authority protection","merged into authority wiring (axis = authority)","merged into NEW canonical (axis = authority)","MEDIUM; depends on NEW_AXIS=authority adoption"
reputation_protection,14,Image;Reputation,NEW_AXIS=visibility,"Protecting personal/system image at cost of behavioral truth — distinct dimension (image-management vs truth-naming)","new wiring (axis = visibility)","new wiring (axis 8/12); patternRequires 추가 영역","HIGH; production family validated (5 prod rows / 3 users); anchor for visibility axis (currently 0 wiring); current_axis literal Image;Reputation matches semantic"
documentation_sanitization,12,Authority;Documentation,MERGE_INTO=explanation_substitution,"Sanitizing documentation as accountability substitute — mechanism of explanation_substitution","merged into accountability wiring (axis = accountability)","merged into existing canonical; no recalc","MEDIUM; documentation as substitute artifact for behavioral accountability"
