pattern_family,frequency,scenario_files,scenario_sample,scenario_axis_literal,runtime_prod_usage,canonical_member,compat_map_key,compat_map_value,penalty_wiring_axis
truth_naming,89,19,core_23_manager_truth_block,Axis 4 — Truth;Ownership;Truth,yes (R3 phase 2 — 4 prod families across 5 rows / 3 users),false,true,truth_naming,
future_deferral,70,22,core_07_repair_conversation,Axis 2 — Time;Documentation;Time,no,true,true,future_deferral,time
conflict_avoidance,34,10,core_23_manager_truth_block,Conflict;Control;Support;Truth,no,false,true,conflict_avoidance,
system_thinking,30,6,core_01_training_system_exposure,Axis 1 — Ownership;Ownership;System;Truth,no,false,true,accountability_system,
ownership_act,23,3,core_01_training_system_exposure,Axis 1 — Ownership;Ownership,no,false,true,ownership_claim,
trust_repair,22,4,core_25_forced_repair_conversation,Repair;Truth,no,false,false,,
delegation_deflection,21,7,core_01_training_system_exposure,Authority;Axis 3 — Authority,no,true,true,delegation_deflection,conflict
accountability_system,18,2,core_27_identity_repair_commitment,Repair,no,false,false,,
integrity_alignment,18,2,core_26_doctor_repair_choice,Repair,no,false,false,,
ownership_clarity,18,2,core_08_doctor_repair,Repair;Truth,no,false,false,,
authority_protection,14,4,core_27_identity_repair_commitment,Accountability;Authority,no,false,false,,
explanation_substitution,14,6,core_23_manager_truth_block,Accountability;Explanation,no,true,true,explanation_substitution,accountability
neutrality_masking,14,4,core_03_training_failure_hidden_as_performance_issue,Authority;Conflict;Time,no,false,false,,
reputation_protection,14,6,core_25_forced_repair_conversation,Image;Reputation,yes (R3 phase 2 — 4 prod families across 5 rows / 3 users),false,false,,
documentation_sanitization,12,4,core_23_manager_truth_block,Authority;Documentation,no,false,false,,
standard_creation,12,2,core_09_identity_shift,Ownership;Repair,no,false,false,,
performance_blame,11,3,core_01_training_system_exposure,Accountability,yes (R3 phase 2 — 4 prod families across 5 rows / 3 users),false,false,,
integrity_compromise,10,2,core_02_new_doctor_reexposure_compromise_loop,Integrity,yes (R3 phase 2 — 4 prod families across 5 rows / 3 users),false,true,integrity_compromise,
private_intention,10,2,core_09_identity_shift,Control;Time,no,false,false,,
avoidance_behavior,9,5,core_11_selective_standard_escalation,belonging,no,false,false,,
blame_shift,8,3,core_01_training_system_exposure,Axis 9 — Accountability;Truth,no,false,true,accountability_deflection,
system_exposure,8,2,core_06_external_exposure,Ownership;Truth,no,false,false,,
fairness_definition,7,2,core_11_selective_standard_escalation,truth,no,false,false,,
blame_reversal,6,2,core_17_lead_assistant_repair,Conflict,no,false,false,,
boundary_reset,6,2,core_17_lead_assistant_repair,Repair,no,false,false,,
burnout_normalization,6,2,core_05_resignation_signal,Time,no,false,false,,
emotional_release_loop,6,4,core_07_repair_conversation,Comfort,no,false,false,,
growth_justification,6,2,core_22_assistant_truth_block,scalability,no,false,false,,
hidden_resistance,6,2,core_17_lead_assistant_repair,Self-Protection,no,false,false,,
identity_commitment,6,2,core_09_identity_shift,Repair,no,false,false,,
insight_without_behavior,6,2,core_09_identity_shift,Integrity,no,false,false,,
over_ownership,6,2,core_08_doctor_repair,Accountability,no,false,false,,
self_protection,6,2,core_24_external_truth_exposure,Control,no,false,true,identity_drift,
silence_avoidance,6,2,core_08_doctor_repair,Conflict,no,false,false,,
silent_execution,6,2,core_27_identity_repair_commitment,Integrity,no,false,false,,
surface_compliance,6,2,core_17_lead_assistant_repair,Compliance,no,false,false,,
temporary_compliance,6,2,core_09_identity_shift,System,no,false,false,,
system_adaptation,5,2,core_11_selective_standard_escalation,belonging,no,false,false,,
authority_exercise,4,2,core_23_manager_truth_block,Authority,no,false,false,,
authority_preservation,4,2,core_18_identity_integrity_choice,integrity,no,false,false,,
closure_rush,4,2,core_18_identity_integrity_choice,system_identity,no,false,false,,
control_fixation,4,2,core_23_manager_truth_block,Control,no,false,true,control_fixation,
emotional_bypass,4,2,core_17_lead_assistant_repair,Comfort,no,false,false,,
exception_normalization,4,2,core_22_assistant_truth_block,scalability,no,false,false,,
group_conformity,4,2,core_12_silence_normalization,belonging,no,false,false,,
instruction_based_handoff,4,2,core_20_unquestioned_decision,transferability,no,false,false,,
leader_variability,4,2,core_22_assistant_truth_block,integrity,no,false,false,,
localized_system,4,2,core_19_authority_signal,consistency,no,false,false,,
ownership_transfer,4,4,core_07_repair_conversation,integrity,no,false,false,,
passive_trust,4,2,core_19_authority_signal,integrity,no,false,false,,
pattern_capture,4,1,core_10_integrity_favoritism_signal,awareness,no,false,false,,
person_dependent_integrity,4,2,core_20_unquestioned_decision,integrity,no,false,false,,
reality_distortion,4,2,core_12_silence_normalization,belonging;truth,no,false,false,,
relationship_buffer,4,2,core_19_authority_signal,integrity,no,false,false,,
relationship_exception,4,2,core_18_identity_integrity_choice,system_identity,no,false,false,,
silence_normalization,4,2,core_12_silence_normalization,belonging,no,false,false,,
standard_enforcement,4,4,core_22_assistant_truth_block,integrity,no,false,false,,
successor_assumption,4,2,core_20_unquestioned_decision,transferability,no,false,false,,
adaptive_alignment,3,2,core_11_selective_standard_escalation,belonging;truth,no,false,false,,
compensation_loop,3,1,core_01_training_system_exposure,System,no,false,false,,
leader_protection,3,1,core_21_silence_under_hierarchy,correction,no,false,false,,
truth_recognition,3,3,core_12_silence_normalization,awareness;truth,no,false,false,,
accountability_application,2,2,core_19_authority_signal,integrity,no,false,false,,
active_verification,2,2,core_19_authority_signal,integrity,no,false,false,,
authority_constraint,2,2,core_18_identity_integrity_choice,integrity,no,false,false,,
constraint_definition,2,2,core_22_assistant_truth_block,integrity,no,false,false,,
controlled_scaling,2,2,core_22_assistant_truth_block,integrity,no,false,false,,
correction_avoidance,2,1,core_21_silence_under_hierarchy,correction,no,false,false,,
documentation_without_ownership,2,2,core_20_unquestioned_decision,transferability,no,false,false,,
drift_detection,2,2,core_19_authority_signal,integrity,no,false,false,,
drift_normalization,2,2,core_19_authority_signal,consistency,no,false,false,,
equal_application,2,2,core_18_identity_integrity_choice,integrity,no,false,false,,
observed_handoff,2,2,core_20_unquestioned_decision,integrity,no,false,false,,
pattern_ownership,2,2,core_18_identity_integrity_choice,integrity,no,false,false,,
pressure_tested_successor_alignment,2,2,core_20_unquestioned_decision,integrity,no,false,false,,
principle_with_constraint,2,2,core_18_identity_integrity_choice,integrity,no,false,false,,
principle_without_constraint,2,2,core_18_identity_integrity_choice,system_identity,no,false,false,,
rationalization,2,1,core_10_integrity_favoritism_signal,belonging,no,false,false,,
reality_reclaiming,2,2,core_12_silence_normalization,truth,no,false,false,,
recentralized_control,2,1,core_21_silence_under_hierarchy,integrity;self_correction,no,false,false,,
repair_avoidance,2,2,core_25_forced_repair_conversation,Conflict,no,true,true,repair_avoidance,repair
role_ownership,2,2,core_12_silence_normalization,truth,no,false,false,,
scaling_control,2,2,core_22_assistant_truth_block,integrity,no,false,false,,
selective_enforcement,2,2,core_11_selective_standard_escalation,belonging,no,false,false,,
self_correction_protocol,2,1,core_21_silence_under_hierarchy,integrity,no,false,false,,
stability_preservation,2,1,core_21_silence_under_hierarchy,self_correction,no,false,false,,
successor_ownership_mechanism,2,2,core_20_unquestioned_decision,integrity,no,false,false,,
successor_protection,2,1,core_21_silence_under_hierarchy,self_correction,no,false,false,,
